iter	Passed	Remaining
0	184	184254
1	189	94606
2	232	77338
3	235	58722
4	241	47962
5	245	40659
6	248	35291
7	252	31305
8	257	28393
9	261	25909
10	265	23829
11	268	22142
12	273	20786
13	278	19601
14	282	18566
15	288	17740
16	293	16954
17	299	16338
18	303	15687
19	309	15177
20	313	14607
21	316	14068
22	322	13686
23	325	13251
24	329	12834
25	332	12448
26	337	12166
27	341	11860
28	344	11546
29	348	11252
30	353	11043
31	356	10785
32	359	10541
33	362	10311
34	367	10130
35	371	9948
36	374	9751
37	378	9583
38	382	9434
39	387	9298
40	390	9138
41	393	8984
42	398	8867
43	402	8742
44	405	8607
45	409	8490
46	412	8371
47	419	8312
48	422	8203
49	426	8099
50	431	8022
51	435	7943
52	439	7848
53	442	7750
54	447	7693
55	453	7642
56	456	7560
57	460	7475
58	466	7439
59	469	7359
60	473	7283
61	482	7304
62	490	7299
63	495	7251
64	501	7210
65	508	7191
66	512	7143
67	518	7103
68	522	7043
69	525	6982
70	531	6949
71	534	6886
72	538	6832
73	543	6807
74	554	6840
75	561	6830
76	566	6786
77	571	6757
78	576	6715
79	580	6671
80	583	6623
81	587	6577
82	591	6539
83	596	6499
84	599	6451
85	602	6404
86	605	6356
87	610	6328
88	614	6285
89	617	6247
90	621	6203
91	628	6203
92	632	6168
93	635	6125
94	640	6100
95	645	6077
96	648	6040
97	652	6008
98	658	5990
99	661	5957
100	665	5919
101	668	5887
102	673	5866
103	677	5836
104	680	5801
105	684	5771
106	688	5749
107	693	5725
108	697	5697
109	700	5668
110	707	5665
111	711	5638
112	714	5611
113	718	5582
114	723	5568
115	727	5540
116	730	5510
117	733	5482
118	738	5464
119	741	5435
120	744	5408
121	747	5380
122	751	5359
123	755	5335
124	758	5309
125	762	5286
126	765	5260
127	769	5245
128	773	5219
129	776	5195
130	779	5170
131	782	5148
132	786	5130
133	790	5105
134	793	5083
135	796	5059
136	800	5044
137	804	5022
138	807	5004
139	811	4982
140	814	4963
141	819	4953
142	824	4939
143	827	4917
144	831	4902
145	835	4884
146	838	4864
147	841	4843
148	844	4823
149	849	4812
150	852	4795
151	856	4776
152	859	4757
153	863	4743
154	867	4727
155	870	4707
156	873	4689
157	876	4671
158	881	4662
159	884	4644
160	887	4625
161	890	4608
162	894	4590
163	900	4591
164	904	4577
165	907	4560
166	911	4548
167	916	4540
168	919	4523
169	923	4507
170	927	4498
171	931	4483
172	934	4467
173	937	4451
174	941	4439
175	947	4434
176	950	4418
177	953	4402
178	958	4395
179	962	4385
180	965	4370
181	969	4356
182	972	4341
183	976	4332
184	980	4317
185	983	4303
186	986	4288
187	989	4274
188	994	4266
189	997	4252
190	1001	4240
191	1004	4226
192	1010	4223
193	1014	4213
194	1017	4199
195	1020	4185
196	1024	4176
197	1029	4171
198	1033	4159
199	1036	4146
200	1040	4137
201	1045	4131
202	1054	4139
203	1065	4157
204	1070	4149
205	1078	4155
206	1083	4149
207	1088	4143
208	1096	4150
209	1101	4143
210	1111	4157
211	1117	4151
212	1123	4151
213	1128	4146
214	1133	4138
215	1141	4141
216	1145	4131
217	1148	4119
218	1151	4107
219	1156	4099
220	1161	4093
221	1164	4081
222	1167	4069
223	1172	4063
224	1176	4051
225	1179	4039
226	1182	4027
227	1187	4020
228	1190	4008
229	1193	3996
230	1196	3984
231	1200	3973
232	1204	3965
233	1207	3953
234	1212	3945
235	1215	3934
236	1220	3929
237	1224	3921
238	1228	3910
239	1231	3899
240	1236	3892
241	1239	3882
242	1243	3873
243	1246	3861
244	1250	3854
245	1254	3845
246	1257	3835
247	1261	3824
248	1265	3815
249	1268	3806
250	1271	3795
251	1275	3784
252	1278	3774
253	1283	3770
254	1288	3763
255	1291	3754
256	1295	3744
257	1300	3738
258	1304	3731
259	1308	3723
260	1312	3716
261	1318	3712
262	1322	3705
263	1326	3698
264	1334	3700
265	1338	3694
266	1342	3686
267	1348	3684
268	1352	3676
269	1357	3670
270	1363	3666
271	1370	3668
272	1380	3675
273	1388	3678
274	1397	3684
275	1405	3686
276	1413	3688
277	1419	3685
278	1425	3683
279	1433	3685
280	1443	3692
281	1454	3704
282	1464	3709
283	1479	3730
284	1498	3758
285	1504	3756
286	1514	3763
287	1580	3906
288	1595	3925
289	1605	3930
290	1618	3943
291	1654	4010
292	1663	4014
293	1676	4024
294	1688	4035
295	1701	4046
296	1714	4057
297	1728	4071
298	1744	4089
299	1749	4082
300	1756	4078
301	1761	4071
302	1767	4066
303	1776	4067
304	1781	4059
305	1785	4049
306	1792	4046
307	1798	4040
308	1802	4030
309	1808	4024
310	1815	4022
311	1824	4022
312	1838	4035
313	1848	4037
314	1858	4041
315	1872	4052
316	1876	4042
317	1880	4032
318	1890	4035
319	1895	4028
320	1902	4025
321	1907	4016
322	1927	4039
323	1932	4031
324	1941	4032
325	1945	4022
326	1955	4024
327	1961	4017
328	1970	4019
329	1974	4009
330	1978	3998
331	1982	3988
332	1988	3982
333	1991	3971
334	1995	3961
335	2000	3953
336	2004	3942
337	2007	3931
338	2013	3925
339	2018	3918
340	2022	3908
341	2026	3899
342	2030	3889
343	2036	3883
344	2039	3872
345	2042	3861
346	2046	3850
347	2052	3845
348	2056	3836
349	2060	3826
350	2066	3821
351	2071	3813
352	2074	3802
353	2078	3792
354	2085	3789
355	2089	3779
356	2093	3769
357	2099	3764
358	2103	3755
359	2106	3745
360	2110	3735
361	2116	3729
362	2119	3719
363	2122	3709
364	2125	3698
365	2133	3695
366	2153	3713
367	2170	3726
368	2177	3723
369	2188	3726
370	2200	3730
371	2204	3721
372	2210	3715
373	2215	3707
374	2218	3697
375	2221	3687
376	2226	3679
377	2230	3670
378	2233	3659
379	2237	3650
380	2241	3640
381	2245	3632
382	2248	3622
383	2252	3612
384	2255	3602
385	2260	3595
386	2263	3586
387	2267	3575
388	2270	3565
389	2276	3560
390	2280	3552
391	2284	3542
392	2287	3533
393	2293	3528
394	2297	3518
395	2300	3509
396	2303	3499
397	2309	3493
398	2312	3483
399	2316	3474
400	2319	3464
401	2324	3458
402	2328	3448
403	2331	3439
404	2334	3430
405	2340	3423
406	2343	3414
407	2346	3404
408	2349	3394
409	2352	3385
410	2358	3379
411	2361	3370
412	2364	3360
413	2367	3351
414	2374	3346
415	2378	3339
416	2382	3330
417	2389	3326
418	2394	3320
419	2397	3311
420	2404	3307
421	2408	3299
422	2412	3291
423	2415	3282
424	2423	3279
425	2426	3270
426	2430	3261
427	2437	3258
428	2441	3250
429	2445	3241
430	2448	3232
431	2456	3230
432	2460	3222
433	2464	3213
434	2471	3210
435	2479	3207
436	2487	3204
437	2491	3196
438	2494	3187
439	2499	3181
440	2507	3177
441	2510	3168
442	2513	3160
443	2520	3155
444	2523	3146
445	2526	3138
446	2531	3132
447	2537	3126
448	2540	3117
449	2544	3109
450	2551	3106
451	2555	3098
452	2560	3091
453	2568	3088
454	2572	3080
455	2575	3072
456	2584	3070
457	2588	3063
458	2597	3061
459	2600	3053
460	2604	3045
461	2607	3036
462	2615	3033
463	2619	3026
464	2624	3020
465	2632	3016
466	2638	3011
467	2650	3012
468	2654	3005
469	2666	3007
470	2670	2999
471	2679	2997
472	2687	2994
473	2696	2992
474	2700	2984
475	2703	2976
476	2710	2972
477	2713	2963
478	2716	2955
479	2719	2946
480	2726	2942
481	2730	2934
482	2733	2926
483	2736	2917
484	2742	2912
